data,codigo_reservatorio,reservatorio,cota_m,afluencia_m3_s,defluencia_m3_s,vazao_vertida_m3_s,vazao_turbinada_m3_s,vazao_natural_m3_s,volume_util_percentual,vazao_incremental_m3_s
2000-01-01,19001,CAMARGOS,906.43,222.1,89,0,NA,180.27,40.1,NA
2000-01-02,19001,CAMARGOS,906.64,296.77,172,0,NA,266.9,41.71,NA
2000-01-03,19001,CAMARGOS,906.89,361.46,211,0,NA,314.91,43.64,NA
2021-02-01,19001,CAMARGOS,908.16,77.86,98,0,98,77.91,53.91,NA
2021-02-02,19001,CAMARGOS,908.13,75.86,96,0,96,76.91,53.65,NA
2021-02-03,19001,CAMARGOS,908.11,83.57,97,0,97,85.86,53.48,NA
2021-02-04,19001,CAMARGOS,908.12,102.71,96,0,96,96.46,53.57,NA
2021-02-05,19001,CAMARGOS,908.12,93,93,0,93,92.89,53.57,NA
2021-02-06,19001,CAMARGOS,908.13,102.71,96,0,96,102.46,53.65,NA
2021-02-07,19001,CAMARGOS,908.22,163.42,103,0,103,162.08,54.43,NA
2000-01-01,19002,ITUTINGA,885.65,84,84,0,86.75,180.27,NA,NA
2000-01-02,19002,ITUTINGA,885.75,167.88,166,0,169.62,266.9,NA,NA
2000-01-03,19002,ITUTINGA,885.76,203.19,203,0,209.04,314.91,NA,NA
2021-02-01,19002,ITUTINGA,885.73,108.57,108,0,108,77.91,NA,NA
2021-02-02,19002,ITUTINGA,885.68,104.06,105,0,105,76.91,NA,NA
2021-02-03,19002,ITUTINGA,885.66,102.63,103,0,103,85.86,NA,NA
2021-02-04,19002,ITUTINGA,885.66,101,101,0,101,96.46,NA,NA
2021-02-05,19002,ITUTINGA,885.64,100.63,101,0,101,92.89,NA,NA
2021-02-06,19002,ITUTINGA,885.73,102.69,101,0,101,102.46,NA,NA
2021-02-07,19002,ITUTINGA,885.78,111.95,111,0,111,162.08,NA,NA
2021-02-01,19003,FUNIL-MG,807.97,188.86,173,0,173,162.37,NA,NA
2021-02-02,19003,FUNIL-MG,807.97,188,188,0,188,165.24,NA,NA
2021-02-03,19003,FUNIL-MG,807.97,204,204,0,204,180.8,NA,NA
2021-02-04,19003,FUNIL-MG,807.95,186.13,194,0,194,197.28,NA,NA
2021-02-05,19003,FUNIL-MG,807.86,201.47,237,0,237,197.36,NA,NA
2021-02-06,19003,FUNIL-MG,807.8,286.39,310,0,310,256.02,NA,NA
2021-02-07,19003,FUNIL-MG,807.8,360,360,0,360,373.03,NA,NA
2000-01-01,19004,FURNAS,752.32,857.97,417,0,417,628.51,7.8,NA
2000-01-02,19004,FURNAS,752.47,1612.43,510,0,510,965.13,8.35,NA
2000-01-03,19004,FURNAS,752.68,2491.4,948,0,948,1780.5,9.13,NA
2021-02-01,19004,FURNAS,756.37,469.28,754,0,754,484.15,24.65,NA
2021-02-02,19004,FURNAS,756.38,754.91,660,0,660,484.98,24.69,NA
2021-02-03,19004,FURNAS,756.37,583.09,678,0,678,524.18,24.65,NA
2021-02-04,19004,FURNAS,756.36,626.09,721,0,721,584.63,24.6,NA
2021-02-05,19004,FURNAS,756.36,685,685,0,685,664.88,24.6,NA
2021-02-06,19004,FURNAS,756.42,890.44,321,0,321,781.6,24.88,NA
2021-02-07,19004,FURNAS,756.6,1912.33,204,0,204,1076.77,25.74,NA
2000-01-01,19005,M. MORAES,662.48,731.86,627,0,627,708.17,65.99,NA
2000-01-02,19005,M. MORAES,662.47,627.78,654,0,654,739.88,65.89,NA
2000-01-03,19005,M. MORAES,663.08,2503.37,901,0,901,1267.94,71.43,NA
2021-02-01,19005,M. MORAES,657.54,853.5,1041,0,1041,560.89,28.78,NA
